feature,mean_abs_shap,rank
cat__locality_Moghbazar,5.2099105e-05,146
cat__locality_Malibagh,5.047857e-05,147
cat__locality_Mugdapara,4.4262953e-05,148
cat__locality_Banani Dohs,4.237794e-05,149
cat__locality_Basabo,4.2335276e-05,150
cat__locality_Kathalbagan,4.1851265e-05,151
cat__locality_Paltan,4.183365e-05,152
cat__city_Narayanganj,3.9436116e-05,153
cat__locality_Sylhet City,3.8987495e-05,154
cat__locality_Kazir Dewri,3.8135826e-05,155
cat__locality_Ramna,3.4417535e-05,156
cat__zone_Sylhet City,2.5728914e-05,157
cat__locality_Farmgate,2.1868665e-05,158
cat__locality_Shiddheswari,1.8978095e-05,159
cat__locality_Daskhinkhan,1.8094344e-05,160
cat__locality_North Shahjahanpur,1.5788e-05,161
cat__locality_Gulshan 2,1.460239e-05,162
cat__locality_Khulna City,1.2698094e-05,163
cat__locality_Aftabnagar,1.0314774e-05,164
cat__locality_Shahjahanpur,9.588123e-06,165
cat__locality_Gulshan 1,6.8983327e-06,166
cat__locality_Kamrangirchar,0.0,167
cat__locality_Jatrabari,0.0,168
cat__locality_Kamrangir Char,0.0,169
cat__locality_Kallaynpur,0.0,170
cat__locality_Bhairab,0.0,171
cat__zone_Sub-district of Rangpur,0.0,172
cat__locality_Bogura Sadar,0.0,173
cat__locality_Chandanpur,0.0,174
cat__locality_Chandpur Sadar,0.0,175
cat__locality_Chandra,0.0,176
cat__locality_Chawkbazar,0.0,177
cat__locality_Cumilla City,0.0,178
cat__locality_DOHS Banani,0.0,179
cat__locality_DOHS Baridhara,0.0,180
cat__zone_Sub-district of Habiganj,0.0,181
num__service_staff_amenity_count,0.0,182
cat__zone_Sub-district of Khulna,0.0,183
cat__zone_Sub-district of Narsingdi,0.0,184
cat__locality_Kadamtali,0.0,185
cat__locality_Joar Sahara,0.0,186
cat__locality_Kakrail,0.0,187
cat__locality_Kalachandpur,0.0,188
cat__locality_Gazipur Sadar,0.0,189
cat__locality_Fatulla,0.0,190
cat__locality_DOHS Mohakhali,0.0,191
cat__locality_Habiganj Sadar,0.0,192
cat__locality_Hatirpool,0.0,193
cat__locality_Hazaribag ,0.0,194
cat__locality_Jalalabad Housing Society,0.0,195
cat__locality_Jatra Bari,0.0,196
cat__locality_Eskaton,0.0,197
cat__zone_Sub-district of Manikganj,0.0,198
cat__zone_Sub-district of Kishoreganj,0.0,199
cat__zone_Sub-district of Rajshahi,0.0,200
cat__zone_Sub-district of Sherpur,0.0,201
cat__zone_Sub-district of Satkhira,0.0,202
cat__locality_Baridhara Dohs,0.0,203
cat__locality_Bangshal,0.0,204
cat__locality_Nadda,0.0,205
cat__locality_Mugda,0.0,206
cat__locality_Narsingdi Sadar,0.0,207
cat__locality_Manikganj Sadar,0.0,208
cat__locality_Maniknagar,0.0,209
cat__locality_Banglamotors,0.0,210
cat__locality_Bashundhara,0.0,211
cat__locality_Barguna Sadar,0.0,212
cat__locality_36 Goshail Danga Ward,0.0,213
cat__locality_33 No. Firingee Bazaar Ward,0.0,214
cat__locality_32 No. Andarkilla Ward,0.0,215
cat__locality_30 No. East Madarbari Ward,0.0,216
cat__locality_Shyampur,0.0,217
cat__locality_29 No. West Madarbari Ward,0.0,218
cat__locality_Shegunbagicha,0.0,219
cat__locality_Shiddhirganj,0.0,220
cat__locality_Sher E Bangla Nagar ,0.0,221
cat__locality_Sherpur Sadar,0.0,222
cat__locality_Rupnagar,0.0,223
cat__locality_Rupganj,0.0,224
cat__locality_Sabujbag,0.0,225
cat__locality_Senpara Porbota,0.0,226
cat__locality_Shah Ali,0.0,227
cat__locality_Shahbagh,0.0,228
cat__locality_Pallabi ,0.0,229
cat__locality_Rajshahi City,0.0,230
cat__locality_Railway Colony,0.0,231
cat__locality_Rangpur City,0.0,232
cat__locality_Riaj Uddin Bazar,0.0,233
cat__locality_Lalbag,0.0,234
cat__locality_Bandarban Sadar,0.0,235
cat__locality_Banglamotor,0.0,236
cat__locality_Kuril,0.0,237
