Model,Test_Log_RMSE,Test_Log_R2,Test_MAE,Test_RMSE,Test_R2
Baseline XGBoost,0.27242163836649524,0.8409081143408718,2249678.0452684565,9189514.248535225,0.8032099942006612
Tuned XGBoost,0.27048535417347386,0.8431616236882794,2286252.954861824,10935522.74051704,0.7213256327908358
