,area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,city,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,division,zone
17,1735.0,Apartment,Residential,3.0,3.0,12500000.0,Dhaka,Mohammadpur,0,1,1,1,3,0,4,Dhaka,Mohammadpur
19,1002.0,Apartment,Residential,2.0,2.0,6800000.0,Dhaka,Rampura,0,2,2,0,2,0,3,Dhaka,Khilgaon
20,2190.0,Apartment,Residential,3.0,3.0,28000000.0,Dhaka,Uttara,0,1,1,0,1,0,3,Dhaka,Uttara
21,1722.0,Apartment,Residential,0.0,3.0,12000000.0,Dhaka,Turag,0,2,2,0,4,0,4,Dhaka,Turag
22,1758.0,Apartment,Residential,0.0,3.0,12000000.0,Dhaka,Turag,0,2,2,0,4,0,4,Dhaka,Turag
23,1700.0,Apartment,Residential,4.0,4.0,10000000.0,Dhaka,Mirpur,0,2,2,0,2,0,4,Dhaka,Mirpur
24,2000.0,Apartment,Residential,3.0,3.0,22500000.0,Dhaka,Bashundhara R-A,0,2,2,0,4,0,4,Dhaka,Bashundhara R/A
25,1368.0,Apartment,Residential,3.0,3.0,12000000.0,Dhaka,Shyamoli,0,1,2,0,5,0,3,Dhaka,Shyamoli
26,2318.0,Apartment,Residential,4.0,4.0,21000000.0,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3,Dhaka,Bashundhara R/A
27,275.0,Office,Commercial,0.0,0.0,9625000.0,Dhaka,Mirpur,0,1,2,0,4,0,4,Dhaka,Mirpur
28,900.0,Apartment,Residential,0.0,2.0,5200000.0,Dhaka,Badda,0,1,2,0,4,0,4,Dhaka,Badda
29,1650.0,Office,Commercial,0.0,0.0,10000000.0,Dhaka,Ibrahimpur,0,2,2,0,2,0,4,Dhaka,Mirpur
30,456.0,Shop,Commercial,0.0,0.0,6000000.0,Dhaka,Dhanmondi,0,1,3,1,4,0,3,Dhaka,Dhanmondi
31,1650.0,Office,Commercial,0.0,0.0,10000000.0,Dhaka,Ibrahimpur,0,2,2,0,2,0,4,Dhaka,Mirpur
32,11200.0,Office,Commercial,0.0,0.0,160000000.0,Dhaka,Mirpur,0,0,0,0,1,0,3,Dhaka,Mirpur
33,3740.0,Office,Commercial,0.0,0.0,35000000.0,Dhaka,Badda,0,2,1,1,2,0,3,Dhaka,Badda
34,700.0,Office,Commercial,0.0,0.0,14000000.0,Dhaka,Mirpur,0,1,2,0,4,0,4,Dhaka,Mirpur
35,1735.0,Apartment,Residential,3.0,4.0,13799999.999999998,Dhaka,Banasree,0,2,3,0,5,0,3,Dhaka,Khilgaon
36,11500.0,Building,Residential,10.0,21.0,81000000.0,Dhaka,Banasree,0,2,1,0,1,0,3,Dhaka,Khilgaon
