,area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,city,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,division,zone,bedroom_not_applicable,log_area,total_rooms,bath_bed_ratio,area_per_bedroom,total_amenities
297,950.0,Apartment,Residential,2.0,2.0,5000000.0,Dhaka,Dakshin Khan,0,2,1,0,2,0,3,Dhaka,Dakshin Khan,0,6.85751406254539,4.0,1.0,475.0,8
298,1517.0,Apartment,Residential,4.0,3.0,12500000.0,Dhaka,Uttara,0,2,3,0,3,0,4,Dhaka,Uttara,0,7.325148957955575,7.0,1.3333333333333333,505.6666666666667,12
299,1050.0,Apartment,Residential,2.0,3.0,5400000.0,Dhaka,Dakshin Khan,0,1,0,0,1,0,3,Dhaka,Dakshin Khan,0,6.957497370876951,5.0,0.6666666666666666,350.0,5
300,1170.0,Apartment,Residential,2.0,2.0,10500000.0,Dhaka,Shiddheswari,0,0,2,0,4,0,3,Dhaka,Motijheel,0,7.065613363597717,4.0,1.0,585.0,9
301,1800.0,Apartment,Residential,3.0,3.0,19000000.0,Dhaka,Bashundhara R-A,0,0,1,0,3,0,3,Dhaka,Bashundhara R/A,0,7.496097345175956,6.0,1.0,600.0,7
302,1460.0,Apartment,Residential,3.0,3.0,13000000.0,Dhaka,New Market,0,2,2,1,4,0,4,Dhaka,New Market,0,7.2868764117507,6.0,1.0,486.6666666666667,13
303,950.0,Apartment,Residential,2.0,3.0,6000000.0,Dhaka,Malibagh,0,2,2,0,3,0,4,Dhaka,Ramna,0,6.85751406254539,5.0,0.6666666666666666,316.6666666666667,11
304,1170.0,Apartment,Residential,2.0,2.0,10500000.0,Dhaka,Shiddheswari,0,0,2,0,4,0,3,Dhaka,Motijheel,0,7.065613363597717,4.0,1.0,585.0,9
305,1336.0,Apartment,Residential,0.0,3.0,6680000.0,Chattogram,9 No. North Pahartali Ward,0,1,2,0,1,0,4,Chattogram,Chattogram City,0,7.198183577101943,3.0,0.0,445.3333333333333,8
306,800.0,Apartment,Residential,0.0,2.0,4500000.0,Dhaka,Shyampur,0,1,0,0,1,0,3,Dhaka,,0,6.68586094706836,2.0,0.0,400.0,5
307,1250.0,Apartment,Residential,0.0,3.0,6500000.0,Dhaka,Jatra Bari,0,1,2,0,4,0,4,Dhaka,Jatrabari,0,7.1316985104669115,3.0,0.0,416.6666666666667,11
308,750.0,Apartment,Residential,0.0,2.0,4000000.0,Dhaka,Shyampur,0,1,0,0,1,0,3,Dhaka,,0,6.621405651764134,2.0,0.0,375.0,5
309,950.0,Apartment,Residential,2.0,3.0,5200000.0,Dhaka,Mirpur,0,0,1,0,2,0,4,Dhaka,Mirpur,0,6.85751406254539,5.0,0.6666666666666666,316.6666666666667,7
310,1500.0,Apartment,Residential,0.0,3.0,7800000.0,Dhaka,Muradpur,0,1,2,0,4,0,4,Dhaka,Chattogram City,0,7.313886831633462,3.0,0.0,500.0,11
311,1100.0,Apartment,Residential,3.0,3.0,6500000.0,Dhaka,Khilgaon,0,0,2,0,2,0,3,Dhaka,Khilgaon,0,7.00397413672268,6.0,1.0,366.6666666666667,7
312,1500.0,Apartment,Residential,0.0,3.0,7800000.0,Dhaka,Muradpur,0,1,2,0,4,0,4,Dhaka,Chattogram City,0,7.313886831633462,3.0,0.0,500.0,11
313,1150.0,Apartment,Residential,2.0,3.0,6500000.0,Dhaka,Mirpur,0,2,2,0,2,0,4,Dhaka,Mirpur,0,7.048386408721883,5.0,0.6666666666666666,383.3333333333333,10
314,1200.0,Apartment,Residential,0.0,3.0,5500000.0,Dhaka,Keraniganj,0,1,1,1,3,0,3,Dhaka,Keraniganj,0,7.0909098220799835,3.0,0.0,400.0,9
315,1200.0,Apartment,Residential,0.0,3.0,5500000.0,Dhaka,Keraniganj,0,1,1,1,4,0,3,Dhaka,Keraniganj,0,7.0909098220799835,3.0,0.0,400.0,10
316,700.0,Apartment,Residential,2.0,2.0,4700000.0,Dhaka,Mohammadpur,0,0,2,1,3,0,4,Dhaka,Mohammadpur,0,6.55250788703459,4.0,1.0,350.0,10
317,850.0,Apartment,Residential,2.0,3.0,5500000.0,Dhaka,Mirpur,0,0,2,0,3,0,3,Dhaka,Mirpur,0,6.7464121285733745,5.0,0.6666666666666666,283.3333333333333,8
318,1300.0,Apartment,Residential,0.0,3.0,6500000.0,Chattogram,4 No Chandgaon Ward,0,0,0,0,1,0,3,Chattogram,Chattogram City,0,7.170888478512505,3.0,0.0,433.3333333333333,4
